Borough,CD Number,CD Name,1970 Population,1980 Population,1990 Population,2000 Population,2010 Population
Bronx,201,Mott Haven,138557,78441,77214,82159,91497
Bronx,202,Hunts Point,99493,34399,39443,46824,52246
Bronx,203,Morrisania,150636,53635,57162,68574,79762
Bronx,204,"Councourse, Highbridge",144207,114312,119962,139563,146441
Bronx,205,University/Morris Heights,121807,107995,118435,128313,128200
Bronx,206,East Tremont,114137,65016,68061,75688,83268
Bronx,207,Fordham,113764,116827,128588,141411,139286
Bronx,208,Riverdale,103543,98275,97030,101332,101731
Bronx,209,"Unionport, Soundview",166442,167627,155970,167859,172298
Bronx,210,Throgs Neck,84948,106516,108093,115948,120392
Bronx,211,Pelham Parkway,105980,99080,97842,110706,113232
Bronx,212,Williamsbridge,135010,128226,129620,149077,152344
Brooklyn,301,"Williamsburg, Greenpoint",179390,142942,155972,160338,173083
Brooklyn,302,"Fort Greene, Brooklyn Heights",110221,92732,94534,98620,99617
Brooklyn,303,Bedford Stuyvesant,203380,133379,138696,143867,152985
Brooklyn,304,Bushwick,137902,92497,102572,104358,112634
Brooklyn,305,East New York,170791,154931,161350,173198,182896
Brooklyn,306,Park Slope,138933,110228,102724,104054,104709
Brooklyn,307,Sunset Park,111607,98567,102553,120063,126230
Brooklyn,308,Crown Heights North,121821,88796,96400,96076,96317
Brooklyn,309,Crown Heights South,101047,96669,110715,104014,98429
Brooklyn,310,Bay Ridge,129822,118187,110612,122542,124491
Brooklyn,311,Bensonhurst,170119,155072,149994,172129,181981
Brooklyn,312,Borough Park,166301,155899,160018,185046,191382
Brooklyn,313,Coney Island,97750,100030,102596,106120,104278
Brooklyn,314,"Flatbush, Midwood",137041,143859,159825,168806,160664
Brooklyn,315,Sheepshead Bay,164815,149572,143477,160319,159650
Brooklyn,316,Brownsville,122589,73801,84923,85343,86468
Brooklyn,317,East Flatbush,149496,154596,161261,165753,155252
Brooklyn,318,Canarsie,188643,169092,162428,194653,193543
Manhattan,101,"Battery Park, Tribeca",7706,15918,25366,34420,60978
Manhattan,102,"Greenwich Village, SOHO",84337,87069,94105,93119,90016
Manhattan,103,Lower East Side,181845,154848,161617,164407,163277
Manhattan,104,"Chelsea, Clinton",83601,82164,84431,87479,103245
Manhattan,105,Midtown Business District,31076,39544,43507,44028,51673
Manhattan,106,Murray Hill,122465,127554,133748,136152,142745
Manhattan,107,Upper West Side,212422,206669,210993,207699,209084
Manhattan,108,Upper East Side,200851,204305,210880,217063,219920
Manhattan,109,Manhattanville,113606,103038,106978,111724,110193
Manhattan,110,Central Harlem,159267,105641,99519,107109,115723
Manhattan,111,East Harlem,154662,114569,110508,117743,120511
Manhattan,112,Washington Heights,180561,179941,198192,208414,190020
Queens,401,"Astoria, Long Island City",185925,185198,188549,211220,191105
Queens,402,"Sunnyside, Woodside",95073,88927,94845,109920,113200
Queens,403,Jackson Heights,123635,122090,128924,169083,171576
Queens,404,"Elmhurst, Corona",108233,118430,137023,167005,172598
Queens,405,"Ridgewood, Glendale",161022,150142,149126,165911,169190
Queens,406,"Rego Park, Forest Hills",120429,112245,106996,115967,113257
Queens,407,Flushing,207589,204785,220508,242952,247354
Queens,408,"Fresh Meadows, Briarwood",142468,125312,132101,146594,151107
Queens,409,Woodhaven,110367,109505,112151,141608,143317
Queens,410,Howard Beach,113857,105651,107768,127274,122396
Queens,411,Bayside,127883,110963,108056,116404,116431
Queens,412,"Jamaica, St.Albans",206639,189383,201293,223602,225919
Queens,413,Queens Village,184647,173178,177535,196284,188593
Queens,414,The Rockaways,98228,100592,100596,106686,114978
Staten Island,501,Port Richmond,135875,138489,137806,162609,175756
Staten Island,502,"Willowbrook, South Beach",85985,105128,113944,127071,132003
Staten Island,503,Tottenville,72815,108249,126956,152908,160209
